Ticker,Company_Name,Stock_Index
AZN.L,AstraZeneca,FTSE_100
SHEL.L,Shell,FTSE_100
HSBA.L,HSBC Holdings,FTSE_100
ULVR.L,Unilever,FTSE_100
BHP.L,BHP Group Ltd,FTSE_ALL
REL.L,RELX,FTSE_100
BP.L,BP,FTSE_100
RIO.L,Rio Tinto,FTSE_100
BATS.L,British American Tobacco,FTSE_100
BNC.L,Banco Santander SA,FTSE_ALL
GSK.L,GSK,FTSE_100
DGE.L,Diageo,FTSE_100
LSEG.L,London Stock Exchange Group,FTSE_100
GLEN.L,Glencore,FTSE_100
NG.L,National Grid,FTSE_100
CRH.L,CRH,FTSE_ALL
RR.L,Rolls-Royce Group,FTSE_100
CPG.L,Compass Group,FTSE_100
BA.L,BAE Systems,FTSE_100
LLOY.L,Lloyds Banking Group,FTSE_100
EXPN.L,Experian,FTSE_100
HLN.L,Haleon,FTSE_100
BARC.L,Barclays,FTSE_100
RKT.L,Reckitt Benckiser Group,FTSE_100
FLTR.L,Flutter Entertainment,FTSE_ALL
III.L,3i Group,FTSE_100
AAL.L,Anglo American,FTSE_100
FERG.L,Ferguson Enterprises Inc,FTSE_ALL
NWG.L,NatWest Group,FTSE_100
OTV2.L,Octopus Titan VCT,FTSE_ALL
AHT.L,Ashtead Group,FTSE_100
TSCO.L,Tesco,FTSE_100
WDS.L,Woodside Energy Group Ltd,FTSE_ALL
WPM.L,Wheaton Precious Metals Corp,FTSE_ALL
STAN.L,Standard Chartered,FTSE_100
SSE.L,SSE,FTSE_100
VOD.L,Vodafone Group,FTSE_100
IMB.L,Imperial Brands,FTSE_100
PRU.L,Prudential,FTSE_100
ANTO.L,Antofagasta,FTSE_100
SWR.L,Smurfit Westrock,FTSE_ALL
ABF.L,Associated British Foods,FTSE_100
BT.A.L,BT Group,FTSE_100
IHG.L,InterContinental Hotels Group,FTSE_100
LGEN.L,Legal & General Group,FTSE_100
AV.L,Aviva,FTSE_100
NXT.L,Next,FTSE_100
BNZL.L,Bunzl,FTSE_100
SGRO.L,Segro,FTSE_100
SMT.L,Scottish Mortgage Investment Trust,FTSE_100
INF.L,Informa,FTSE_100
SGE.L,Sage Group,FTSE_100
CCH.L,Coca-Cola HBC AG,FTSE_100
IAG.L,International Consolidated Airlines Group SA,FTSE_100
AIBG.L,AIB Group,FTSE_ALL
HLMA.L,Halma,FTSE_100
SN.L,Smith & Nephew,FTSE_100
RTO.L,Rentokil Initial,FTSE_100
WPP.L,WPP Group,FTSE_100
ITRK.L,Intertek Group,FTSE_100
S32.L,South32 Ltd,FTSE_ALL
ADM.L,Admiral Group,FTSE_100
MKS.L,Marks & Spencer Group,FTSE_100
AUTO.L,Auto Trader Group,FTSE_100
SVT.L,Severn Trent,FTSE_100
UU.L,United Utilities Group,FTSE_100
JD.L,JD Sports Fashion,FTSE_100
SBRY.L,Sainsbury (J),FTSE_100
PSON.L,Pearson,FTSE_100
WISE.L,Wise,FTSE_ALL
BTRW.L,Barratt Redrow,FTSE_100
PSH.L,Pershing Square Holdings Ltd,FTSE_100
MNDI.L,Mondi,FTSE_100
SMDS.L,DS Smith,FTSE_100
CNA.L,Centrica,FTSE_100
ICG.L,Intermediate Capital Group,FTSE_100
CRDA.L,Croda International,FTSE_100
KGF.L,Kingfisher,FTSE_100
SDR.L,Schroders,FTSE_100
DPLM.L,Diploma,FTSE_100
WTB.L,Whitbread,FTSE_100
TW.L,Taylor Wimpey,FTSE_100
MRO.L,Melrose Industries,FTSE_100
SMIN.L,Smiths Group,FTSE_100
WEIR.L,Weir Group,FTSE_100
PHNX.L,Phoenix Group Holdings,FTSE_100
SPX.L,Spirax Group,FTSE_100
FCIT.L,F&C Investment Trust,FTSE_100
HL.L,Hargreaves Lansdown,FTSE_100
PSN.L,Persimmon,FTSE_100
DCC.L,DCC,FTSE_100
ENT.L,Entain,FTSE_100
HWDN.L,Howden Joinery Group,FTSE_100
RMV.L,Rightmove,FTSE_100
MNG.L,M&G,FTSE_100
BKG.L,Berkeley Group Holdings,FTSE_100
BEZ.L,Beazley,FTSE_100
LAND.L,Land Securities Group,FTSE_100
IMI.L,IMI,FTSE_100
FRES.L,Fresnillo,FTSE_100
CTEC.L,ConvaTec Group,FTSE_100
UTG.L,UNITE Group,FTSE_100
HIK.L,Hikma Pharmaceuticals,FTSE_100
AAF.L,Airtel Africa,FTSE_100
STJ.L,St James's Place,FTSE_250
BME.L,B&M European Value Retail SA,FTSE_100
LMP.L,Londonmetric Property,FTSE_100
EDV.L,Endeavour Mining,FTSE_100
BLND.L,British Land Co,FTSE_100
HBR.L,Harbour Energy,FTSE_250
BBOX.L,Tritax Big Box REIT,FTSE_250
HSX.L,Hiscox Ltd,FTSE_100
EZJ.L,easyJet,FTSE_100
INVP.L,Investec,FTSE_250
RS1.L,RS Group,FTSE_250
FRAS.L,Frasers Group,FTSE_100
PCT.L,Polar Capital Technology Trust,FTSE_250
GAW.L,Games Workshop Group,FTSE_250
BWY.L,Bellway,FTSE_250
ATST.L,Alliance Trust,FTSE_250
IGG.L,IG Group Holdings,FTSE_250
OCDO.L,Ocado Group,FTSE_250
IDS.L,International Distributions Services,FTSE_250
BVIC.L,Britvic,FTSE_250
VTY.L,Vistry Group,FTSE_100
UKW.L,Greencoat UK Wind,FTSE_250
3IN.L,3i Infrastructure Ltd,FTSE_250
INCH.L,Inchcape,FTSE_250
SCT.L,Softcat,FTSE_250
ITV.L,ITV,FTSE_250
JET2.L,Jet2,FTSE_AIM
GRG.L,Greggs,FTSE_250
ABDN.L,abrdn,FTSE_250
ROR.L,Rotork,FTSE_250
SHC.L,Shaftesbury Capital,FTSE_250
JGGI.L,JPMorgan Global Growth & Income,FTSE_250
