Code,Name
SHEL,Shell
AZN,AstraZeneca
HSBA,HSBC Holdings
BHP,BHP Group Ltd
ULVR,Unilever
BP,BP
GSK,GSK
RIO,Rio Tinto
BNC,Banco Santander SA
REL,RELX
DGE,Diageo
GLEN,Glencore
BATS,British American Tobacco
LSEG,London Stock Exchange Group
CRH,CRH
BA,BAE Systems
NG,National Grid
CPG,Compass Group
RR,Rolls-Royce Group
FERG,Ferguson
LLOY,Lloyds Banking Group
HLN,Haleon
RKT,Reckitt Benckiser Group
EXPN,Experian
BARC,Barclays
AAL,Anglo American
WDS,Woodside Energy Group Ltd
III,3i Group
FLTR,Flutter Entertainment
AHT,Ashtead Group
NWG,NatWest Group
OTV2,Octopus Titan VCT
ANTO,Antofagasta
ABF,Associated British Foods
TSCO,Tesco
PRU,Prudential
VOD,Vodafone Group
WPM,Wheaton Precious Metals Corp
SSE,SSE
STAN,Standard Chartered
IMB,Imperial Brands
LGEN,Legal & General Group
IHG,InterContinental Hotels Group
AV,Aviva
SGE,Sage Group
NXT,Next
SMT,Scottish Mortgage Investment Trust
AIBG,AIB Group
INF,Informa
RTO,Rentokil Initial
SGRO,Segro
BTA,BT Group
BNZL,Bunzl
CCH,Coca-Cola HBC AG
SKG,Smurfit Kappa Group
IAG,International Consolidated Airlines Group SA
SN,Smith & Nephew
ADM,Admiral Group
WPP,WPP Group
HLMA,Halma
MRO,Melrose Industries
WISE,Wise
ITRK,Intertek Group
S32,South32 Ltd
SVT,Severn Trent
PSH,Pershing Square Holdings Ltd
CNA,Centrica
UU,United Utilities Group
PSON,Pearson
SPX,Spirax-Sarco Engineering
CRDA,Croda International
MNDI,Mondi
SBRY,Sainsbury (J)
JD,JD Sports Fashion
AUTO,Auto Trader Group
SDR,Schroders
CTEC,ConvaTec Group
ICG,Intermediate Capital Group
WTB,Whitbread
SMIN,Smiths Group
DCC,DCC
ENT,Entain
BME,B&M European Value Retail SA
WEIR,Weir Group
MKS,Marks & Spencer Group
FCIT,F&C Investment Trust
BKG,Berkeley Group Holdings
PHNX,Phoenix Group Holdings
HWDN,Howden Joinery Group
SMDS,DS Smith
LAND,Land Securities Group
DPLM,Diploma
MNG,M&G
TW,Taylor Wimpey
KGF,Kingfisher
IMI,IMI
BEZ,Beazley
BDEV,Barratt Developments
FRES,Fresnillo
PSN,Persimmon
HSX,Hiscox Ltd
RMV,Rightmove
BRBY,Burberry Group
AAF,Airtel Africa
EDV,Endeavour Mining
EZJ,easyJet
UTG,UNITE Group
LMP,Londonmetric Property
HIK,Hikma Pharmaceuticals
VTY,Vistry Group
BLND,British Land Co
FRAS,Frasers Group
HL,Hargreaves Lansdown
PCT,Polar Capital Technology Trust
ATST,Alliance Trust
DARK,Darktrace
RS1,RS Group
INVP,Investec
SXS,Spectris
JMAT,Johnson Matthey
UKW,Greencoat UK Wind
GAW,Games Workshop Group
SCT,Softcat
JET2,Jet2
OCDO,Ocado Group
3IN,3i Infrastructure Ltd
BWY,Bellway
TUI,TUI AG
INCH,Inchcape
RSW,Renishaw
EMG,Man Group
CCC,Computacenter
ITV,ITV
BBOX,Tritax Big Box REIT
GRG,Greggs
VMUK,Virgin Money UK
IGG,IG Group Holdings
RCP,RIT Capital Partners
ROR,Rotork
BUR,Burford Capital Ltd
IDS,International Distributions Services
SHC,Shaftesbury Capital
BAB,Babcock International Group
TATE,Tate & Lyle
ABDN,abrdn
JET,Just Eat Takeaway.Com NV
HICL,HICL Infrastructure
DLG,Direct Line Insurance Group
TRIG,The Renewables Infrastructure Group Ltd
HCM,Hutchmed (China) Ltd
MNKS,Monks Investment Trust
JGGI,JPMorgan Global Growth & Income
STJ,St James's Place
INPP,International Public Partnership Ltd
BGEO,Bank of Georgia Group
DLN,Derwent London
PHLL,Petershill Partners
CWK,Cranswick
KOS,Kosmos Energy Ltd
SSON,Smithson Investment Trust
WIZZ,Wizz Air Holding
HBR,Harbour Energy
HGT,HgCapital Trust
BVIC,Britvic
BYG,Big Yellow Group
RDW,Redrow
NETW,Network International Holdings
INDV,Indivior
CTY,City of London Investment Trust
SRP,Serco Group
ENOG,Energean
ROO,Deliveroo Holdings
QQ,QinetiQ Group
DNLM,Dunelm Group
BBY,Balfour Beatty
DRX,Drax Group
CLDN,Caledonia Investments
GFTU,Grafton Group
GRI,Grainger
PNN,Pennon Group
IWG,IWG
WWH,Worldwide Healthcare Trust
FOUR,4imprint Group
BPT,Bridgepoint Group
HVPE,Harbourvest Global Private Equity Ltd
TBCG,TBC Bank Group
JAM,JPMorgan American Investment Trust
MRC,Mercantile Investment Trust
TEM,Templeton Emerging Markets Investment Trust
PLUS,Plus500 Ltd
PNL,Personal Assets Trust
ZEG,Zegona Communications
SAFE,Safestore Holdings
DATA,GlobalData
SMWH,WH Smith
TRN,Trainline
SSPG,SSP Group
RHIM,RHI Magnesita NV
MTO,Mitie Group
TCAP,TP ICAP
FEV,Fidelity European Trust
FGT,Finsbury Growth & Income Trust
WTAN,Witan Investment Trust
TPK,Travis Perkins
MYI,Murray International Trust
PIN,Pantheon International
CCL,Carnival
HILS,Hill & Smith Holdings
OSB,OSB Group
PAG,Paragon Banking Group
SVS,Savills
SEPL,SEPLAT Petroleum Development Co
LRE,Lancashire Holdings Ltd
RAT,Rathbone Brothers
BOCH,Bank of Cyprus Holdings
HAS,Hays
CEY,Centamin
PAGE,PageGroup
QLT,Quilter
PTEC,Playtech
MAB,Mitchells & Butlers
JTC,JTC
ASCL,Ascential
HMSO,Hammerson
YCA,Yellow Cake
PFD,Premier Foods
BNKR,Bankers Investment Trust
PETS,Pets at Home Group
SEQI,Sequoia Economic Infrastructure Income Fund Ltd
BOY,Bodycote
TEP,Telecom plus
ATT,Allianz Technology Trust
SMS,Smart Metering Systems
COA,Coats Group
DOM,Domino's Pizza Group
AML,Aston Martin Lagonda Global Holdings
BREE,Breedon Group
BHMG,BH Macro Ltd
FEVR,Fevertree Drinks
GAMA,Gamma Communications
SRE,Sirius Real Estate Ltd
VSVS,Vesuvius
AJB,AJ Bell
CKN,Clarkson
AGR,Assura
PHP,Primary Health Properties
ASHM,Ashmore Group
OXIG,Oxford Instruments
SONG+SONC,Hipgnosis Songs Fund Ltd
EVR,Evraz
ITH,Ithaca Energy
BYIT,Bytes Technology Group
KNOS,Kainos Group Ltd
ASL,Aberforth Smaller Companies Trust
JMG,JPMorgan Emerging Markets Inv Trust
MONY,Moneysupermarket.com Group
DWL,Dowlais Group
GNS,Genus
HRI,Herald Investment Trust
VEIL,Vietnam Enterprise Investments Ltd
SPT,Spirent Communications
BCG,Baltic Classifieds Group
FGP,FirstGroup
MGNS,Morgan Sindall
LWDB,Law Debenture Corp
VCT,Victrex
EDIN,Edinburgh Investment Trust
FCSS,Fidelity China Special Situations
CGT,Capital Gearing Trust
BRWM,BlackRock World Mining Trust
GEN,Genuit Group
AGT,AVI Global Trust
IEM,Impax Environmental Markets
JUST,Just Group
N91,Ninety One
RICA,Ruffer Investment Company Ltd
WG,Wood Group (John)
GPE,Great Portland Estates
YOU,YouGov
SPI,Spire Healthcare Group
HTWS,Helios Towers
CHG,Chemring Group
IHP,IntegraFin Holdings
TRY,TR Property Investment Trust
