Code,Name
SHEL.L,Shell
AZN.L,AstraZeneca
HSBA.L,HSBC Holdings
BHP.L,BHP Group Ltd
ULVR.L,Unilever
BP.L,BP
GSK.L,GSK
RIO.L,Rio Tinto
BNC.L,Banco Santander SA
REL.L,RELX
DGE.L,Diageo
GLEN.L,Glencore
BATS.L,British American Tobacco
LSEG.L,London Stock Exchange Group
CRH.L,CRH
BA.L,BAE Systems
NG.L,National Grid
CPG.L,Compass Group
RR.L,Rolls-Royce Group
FERG.L,Ferguson
LLOY.L,Lloyds Banking Group
HLN.L,Haleon
RKT.L,Reckitt Benckiser Group
EXPN.L,Experian
BARC.L,Barclays
AAL.L,Anglo American
WDS.L,Woodside Energy Group Ltd
III.L,3i Group
FLTR.L,Flutter Entertainment
AHT.L,Ashtead Group
NWG.L,NatWest Group
BLND.L,British Land
ANTO.L,Antofagasta
ABF.L,Associated British Foods
TSCO.L,Tesco
PRU.L,Prudential
VOD.L,Vodafone Group
WPM.L,Wheaton Precious Metals Corp
SSE.L,SSE
STAN.L,Standard Chartered
IMB.L,Imperial Brands
LGEN.L,Legal & General Group
IHG.L,InterContinental Hotels Group
AV.L,Aviva
SGE.L,Sage Group
NXT.L,Next
SMT.L,Scottish Mortgage Investment Trust
AIBG.L,AIB Group
INF.L,Informa
RTO.L,Rentokil Initial
SGRO.L,Segro
BTA.L,BT Group
BNZL.L,Bunzl
CCH.L,Coca-Cola HBC AG
SKG.L,Smurfit Kappa Group
IAG.L,International Consolidated Airlines Group SA
SN.L,Smith & Nephew
ADM.L,Admiral Group
WPP.L,WPP Group
HLMA.L,Halma
MRO.L,Melrose Industries
WISE.L,Wise
ITRK.L,Intertek Group
S32.L,South32 Ltd
SVT.L,Severn Trent
PSH.L,Pershing Square Holdings Ltd
CNA.L,Centrica
UU.L,United Utilities Group
PSON.L,Pearson
SPX.L,Spirax-Sarco Engineering
CRDA.L,Croda International
MNDI.L,Mondi
SBRY.L,Sainsbury (J)
JD.L,JD Sports Fashion
AUTO.L,Auto Trader Group
SDR.L,Schroders
CTEC.L,ConvaTec Group
ICG.L,Intermediate Capital Group
WTB.L,Whitbread
SMIN.L,Smiths Group
DCC.L,DCC
ENT.L,Entain
BME.L,B&M European Value Retail SA
WEIR.L,Weir Group
MKS.L,Marks & Spencer Group
FCIT.L,F&C Investment Trust
BKG.L,Berkeley Group Holdings
PHNX.L,Phoenix Group Holdings
HWDN.L,Howden Joinery Group
SMDS.L,DS Smith
LAND.L,Land Securities Group
DPLM.L,Diploma
MNG.L,M&G
TW.L,Taylor Wimpey
KGF.L,Kingfisher
IMI.L,IMI
BEZ.L,Beazley
BDEV.L,Barratt Developments
FRES.L,Fresnillo
HSX.L,Hiscox
